space,time,day,poi,tid,label
37.7718723029 -122.4315374168,131,Tuesday,43749,65973,4368
37.7723006317 -122.4298596382,289,Tuesday,90566,65973,4368
37.7613111167 -122.4259584667,1207,Tuesday,24158,65973,4368
37.7645525167 -122.4216640167,1307,Tuesday,33132,65973,4368
37.7641757499 -122.4217057228,1313,Tuesday,87805,65973,4368
37.7670728687 -122.4294543467,51,Wednesday,125810,65973,4368
37.7820008 -122.4180991833,64,Wednesday,111772,65973,4368
37.7970768553 -122.3954415321,207,Wednesday,19764,65973,4368
37.7832027724 -122.399694822,1190,Wednesday,236772,65973,4368
37.7826162272 -122.3988562115,1191,Wednesday,142666,65973,4368
37.8031799634 -122.4030116053,1323,Wednesday,125669,65973,4368
37.7814657086 -122.3987731615,1434,Wednesday,32074,65973,4368
37.7908575391 -122.4023967859,51,Friday,165585,65981,4368
37.7750080064 -122.4130597441,124,Friday,144794,65981,4368
37.7774328628 -122.4188896874,124,Friday,46551,65981,4368
37.7777704304 -122.4162340164,125,Friday,183025,65981,4368
37.7774577464 -122.4183579302,125,Friday,99255,65981,4368
37.7777873903 -122.4202466011,125,Friday,31537,65981,4368
37.7839298646 -122.4328331784,138,Friday,306081,65981,4368
37.7821500461 -122.4341695943,141,Friday,120535,65981,4368
37.7255831009 -122.4509096146,1071,Friday,28872,65981,4368
37.6141838226 -122.389690876,1117,Friday,150714,65981,4368
37.6116732569 -122.3899483681,1192,Friday,18590,65981,4368
47.4427590829 -122.3010096603,1434,Friday,15790,65981,4368
48.7953203167 -122.5322068333,32,Sunday,70867,65981,4368
47.6142143667 -122.3484213167,1168,Sunday,41302,65981,4368
47.4412100304 -122.2988726703,78,Monday,283167,65981,4368
37.6139594559 -122.3891973495,249,Monday,129959,65981,4368
37.7807228274 -122.4019982608,1193,Monday,37909,65981,4368
37.7820917167 -122.4008966667,1193,Monday,388360,65981,4368
37.7914988833 -122.3900985667,1317,Monday,10382,65981,4368
37.7582129775 -122.4213624001,177,Tuesday,480115,65981,4368
37.75836745 -122.4213599333,177,Tuesday,15905,65981,4368
37.7570284918 -122.4212173826,177,Tuesday,81300,65981,4368
37.7572326003 -122.4212050469,177,Tuesday,120390,65981,4368
37.7598279778 -122.4191093445,194,Tuesday,117187,65981,4368
37.7830140644 -122.3931058104,1316,Tuesday,128349,65981,4368
37.78248935 -122.3929546667,1316,Tuesday,22149,65981,4368
37.7824215609 -122.3925822973,1316,Tuesday,15023,65981,4368
37.7823597833 -122.3929612333,1317,Tuesday,132306,65981,4368
37.7822986086 -122.3930811882,1317,Tuesday,132299,65981,4368
37.7814657086 -122.3987731615,48,Thursday,32074,65981,4368
37.7554646816 -122.4182403088,145,Thursday,560639,65981,4368
37.7550999309 -122.4183046818,145,Thursday,18398,65981,4368
37.7554418833 -122.41859805,146,Thursday,17884,65981,4368
37.76779025 -122.4067902833,245,Thursday,372403,65981,4368
37.7839298646 -122.4328331784,65,Friday,306081,65986,4368
37.7843276553 -122.4311163113,66,Friday,725632,65986,4368
37.7814976772 -122.4323203778,67,Friday,74320,65986,4368
37.7821500461 -122.4341695943,72,Friday,120535,65986,4368
37.7628996167 -122.4284039833,241,Friday,161697,65986,4368
37.7820951009 -122.4015033245,1114,Friday,491357,65986,4368
37.7825583 -122.4001254333,1116,Friday,210176,65986,4368
37.783761 -122.400135,1238,Friday,622388,65986,4368
37.783816419 -122.4057090282,12,Saturday,88386,65986,4368
37.7714519667 -122.4077319833,85,Saturday,37478,65986,4368
37.76304375 -122.4263025833,985,Saturday,24368,65986,4368
37.7625977833 -122.4231266667,991,Saturday,174904,65986,4368
37.7816955167 -122.4017693667,87,Sunday,35080,65986,4368
37.7841895073 -122.4061489105,219,Sunday,101686,65986,4368
37.7613111167 -122.4259584667,1155,Sunday,24158,65986,4368
37.7615082532 -122.4257665873,1156,Sunday,13338,65986,4368
37.7615074333 -122.4247361167,1156,Sunday,19578,65986,4368
37.7616405333 -122.4242806333,1157,Sunday,14557,65986,4368
37.7614446392 -122.4239587784,1157,Sunday,10594,65986,4368
37.7666218333 -122.3994067,1237,Sunday,29825,65986,4368
37.7628996167 -122.4284039833,1411,Sunday,161697,65986,4368
37.7820701924 -122.401086241,1131,Monday,21950,65986,4368
37.7820866214 -122.4006128311,1131,Monday,15037,65986,4368
37.7826162272 -122.3988562115,1210,Monday,142666,65986,4368
37.7924921054 -122.3912008842,1255,Monday,422559,65986,4368
37.7953388902 -122.3937249184,1260,Monday,9073,65986,4368
37.7690884 -122.41581685,62,Tuesday,51806,65986,4368
37.7610934333 -122.4307787833,1036,Tuesday,157387,65986,4368
37.84652115 -122.2522661,1180,Tuesday,72839,65986,4368
37.7814657086 -122.3987731615,1302,Tuesday,32074,65986,4368
37.7820008 -122.4180991833,1425,Tuesday,111772,65986,4368
37.7875641404 -122.3990953318,158,Wednesday,26788,65986,4368
37.8038926752 -122.4208688736,1139,Wednesday,10481,65986,4368
37.7628996167 -122.4284039833,1290,Wednesday,161697,65986,4368
37.8026295919 -122.4024474621,33,Thursday,9063,65986,4368
37.8031799634 -122.4030116053,34,Thursday,125669,65986,4368
37.7628996167 -122.4284039833,1235,Thursday,161697,65986,4368
37.7842007289 -122.4331321578,58,Friday,33236,65987,4368
37.7845965105 -122.4330997467,58,Friday,42207,65987,4368
37.7839298646 -122.4328331784,58,Friday,306081,65987,4368
37.7825003496 -122.4326252381,59,Friday,20813,65987,4368
37.7821500461 -122.4341695943,161,Friday,120535,65987,4368
37.7980322284 -122.4052515504,217,Friday,794409,65987,4368
37.7832652624 -122.4060738087,1229,Friday,28978,65987,4368
37.7610934333 -122.4307787833,1345,Friday,157387,65987,4368
37.3327163487 -121.9011855125,141,Saturday,10332,65987,4368
37.7736612239 -122.4393307856,1125,Saturday,10798,65987,4368
37.7680744319 -122.4246271714,1430,Saturday,44587,65987,4368
37.7615082532 -122.4257665873,1154,Sunday,13338,65987,4368
37.7625977833 -122.4231266667,1159,Sunday,174904,65987,4368
37.76228165 -122.4229362167,1215,Sunday,321017,65987,4368
37.7643453808 -122.4381744862,1320,Sunday,39823,65987,4368
37.7989075686 -122.4085815758,105,Monday,22413,65987,4368
37.7988266833 -122.4080157167,105,Monday,10186,65987,4368
37.7992644667 -122.4074597333,107,Monday,117225,65987,4368
37.7986932169 -122.4083785765,283,Monday,22397,65987,4368
37.769873014 -122.4668392539,1029,Monday,9625,65987,4368
37.7927327833 -122.40956945,61,Tuesday,80525,65987,4368
37.7868739192 -122.4080580909,203,Tuesday,188252,65987,4368
37.786599697 -122.4017822742,1219,Tuesday,584194,65987,4368
37.7820008 -122.4180991833,1422,Tuesday,111772,65987,4368
37.7875641404 -122.3990953318,144,Wednesday,26788,65987,4368
37.7821500461 -122.4341695943,54,Friday,120535,65988,4368
37.7882150163 -122.4337194199,193,Friday,43178,65988,4368
37.7625977833 -122.4231266667,1153,Friday,174904,65988,4368
37.7628996167 -122.4284039833,1248,Friday,161697,65988,4368
37.7977866095 -122.4007000454,117,Saturday,57653,65988,4368
37.7925537333 -122.4014624833,178,Saturday,221670,65988,4368
37.7610934333 -122.4307787833,948,Saturday,157387,65988,4368
37.8707900167 -122.2591128833,1000,Saturday,862045,65988,4368
37.6180557408 -122.3868155479,262,Sunday,328467,65988,4368
37.6181237271 -122.3926734924,274,Sunday,803017,65988,4368
33.9421850679 -118.3973622322,416,Sunday,148209,65988,4368
34.0483922833 -118.53072235,1227,Sunday,345172,65988,4368
34.0363667667 -118.6356194667,117,Monday,55792,65988,4368
34.0454411727 -118.5647320747,1049,Monday,62329,65988,4368
33.9418290408 -118.3995723724,1323,Monday,229418,65988,4368
37.6181237271 -122.3926734924,34,Tuesday,803017,65988,4368
37.5798762167 -122.3466724333,116,Tuesday,83439,65988,4368
37.7610934333 -122.4307787833,1042,Tuesday,157387,65988,4368
37.7814657086 -122.3987731615,1311,Tuesday,32074,65988,4368
37.7809756 -122.4208258667,123,Wednesday,107149,65988,4368
37.426615702 -122.1727752686,1282,Wednesday,101710,65988,4368
37.8031799634 -122.4030116053,18,Thursday,125669,65988,4368
37.8034984938 -122.4034130573,154,Thursday,34701,65988,4368
37.7875641404 -122.3990953318,204,Thursday,26788,65988,4368
37.40444845 -121.9771727167,1072,Thursday,68676,65988,4368
37.7814657086 -122.3987731615,1290,Thursday,32074,65988,4368
37.7953388902 -122.3937249184,1398,Thursday,9073,65988,4368
37.7821500461 -122.4341695943,69,Friday,120535,65989,4368
37.7700235498 -122.4221536517,307,Friday,21076,65989,4368
37.7820008 -122.4180991833,1104,Friday,111772,65989,4368
37.7516869453 -122.4296083379,1349,Friday,119418,65989,4368
37.7628996167 -122.4284039833,1326,Saturday,161697,65989,4368
37.7616566856 -122.4240231514,126,Sunday,683326,65989,4368
37.7625977833 -122.4231266667,127,Sunday,174904,65989,4368
37.7663962037 -122.4304267065,291,Sunday,28534,65989,4368
37.7625977833 -122.4231266667,1299,Sunday,174904,65989,4368
37.7635013 -122.4241416,1393,Sunday,36763,65989,4368
37.7716643333 -122.4547044,1205,Monday,554585,65989,4368
37.769873014 -122.4668392539,1211,Monday,9625,65989,4368
37.7516869453 -122.4296083379,1402,Monday,119418,65989,4368
37.7762275 -122.41181085,152,Wednesday,80583,65989,4368
37.7794789 -122.4115351,246,Wednesday,47019,65989,4368
37.8031799634 -122.4030116053,1430,Wednesday,125669,65989,4368
37.7624771167 -122.3970680167,146,Thursday,25042,65989,4368
37.7628996167 -122.4284039833,1315,Thursday,161697,65989,4368
37.7821500461 -122.4341695943,56,Friday,120535,65990,4368
37.6157866648 -122.3909461498,1248,Friday,137907,65990,4368
40.6438845363 -73.7828063965,198,Saturday,23261,65990,4368
40.7342402706 -74.0028755987,1001,Saturday,26710,65990,4368
40.7517959667 -73.9818759,1247,Saturday,212283,65990,4368
40.7244409 -73.9924251833,1406,Sunday,15895,65990,4368
40.7318808357 -73.9911979437,131,Tuesday,88190,65990,4368
40.75448274 -73.98274546,815,Tuesday,471115,65990,4368
40.7829379852 -73.9527618885,1157,Tuesday,599767,65990,4368
40.6438845363 -73.7828063965,587,Wednesday,23261,65990,4368
37.6163560649 -122.3861503601,1022,Wednesday,19542,65990,4368
37.7610934333 -122.4307787833,1367,Thursday,157387,65990,4368
37.7899996 -122.4342164,208,Friday,27932,65991,4368
37.783761 -122.400135,1236,Friday,622388,65991,4368
37.7826162272 -122.3988562115,1237,Friday,142666,65991,4368
37.7891625833 -122.4014605667,1237,Friday,92081,65991,4368
37.7841653 -122.4077217667,52,Saturday,38719,65991,4368
37.7642436023 -122.4018895626,1207,Saturday,231659,65991,4368
37.8716325667 -122.2532200667,1398,Saturday,15418,65991,4368
37.8678083668 -122.256770786,72,Sunday,10386,65991,4368
37.8583598125 -122.242665157,253,Sunday,394598,65991,4368
37.7625977833 -122.4231266667,1145,Sunday,174904,65991,4368
37.759688872 -122.4271774292,1392,Sunday,9153,65991,4368
37.7608424243 -122.4329763651,236,Monday,55668,65991,4368
37.78566185 -122.4285801167,1312,Monday,27150,65991,4368
37.7724023991 -122.4463927746,153,Tuesday,26971,65991,4368
37.769873014 -122.4668392539,1202,Tuesday,9625,65991,4368
37.7919339667 -122.4211817667,332,Wednesday,33226,65991,4368
37.7865636613 -122.39767313,986,Wednesday,39928,65991,4368
37.8031799634 -122.4030116053,16,Thursday,125669,65991,4368
37.7919640833 -122.4092806667,174,Thursday,182031,65991,4368
37.7953388902 -122.3937249184,1231,Thursday,9073,65991,4368
37.7821500461 -122.4341695943,61,Friday,120535,65993,4368
37.7826162272 -122.3988562115,1131,Friday,142666,65993,4368
37.763099645 -122.4109768867,1264,Friday,17696,65993,4368
37.7625977833 -122.4231266667,132,Sunday,174904,65993,4368
37.8003746378 -122.4405133724,15,Monday,53171,65993,4368
37.7850822833 -122.4325565833,169,Monday,31081,65993,4368
37.4390848 -122.15890815,1289,Monday,44400,65993,4368
37.7927327833 -122.40956945,77,Tuesday,80525,65993,4368
37.7856987997 -122.3994648457,265,Tuesday,113558,65993,4368
37.7814657086 -122.3987731615,1304,Tuesday,32074,65993,4368
37.7820008 -122.4180991833,1424,Tuesday,111772,65993,4368
37.7737818167 -122.41504235,142,Wednesday,35873,65993,4368
37.82065765 -122.3346048667,1028,Wednesday,33720,65993,4368
37.7344184963 -122.4337980911,1298,Wednesday,60723,65993,4368
37.8031799634 -122.4030116053,9,Thursday,125669,65993,4368
37.8059621833 -122.40479535,147,Thursday,32076,65993,4368
37.8007900667 -122.4100112833,1175,Thursday,10191,65993,4368
37.7989075686 -122.4085815758,1190,Thursday,22413,65993,4368
37.8011870333 -122.4102902333,1268,Thursday,10192,65993,4368
37.7821500461 -122.4341695943,49,Friday,120535,65994,4368
37.7638110422 -122.4332928658,227,Friday,893779,65994,4368
37.7663962037 -122.4304267065,291,Friday,28534,65994,4368
37.783761 -122.400135,1135,Friday,622388,65994,4368
37.7859157735 -122.412870104,63,Saturday,30232,65994,4368
37.8196620833 -122.4785041667,1024,Saturday,10377,65994,4368
37.8726215 -122.4553709167,1061,Saturday,151275,65994,4368
37.7858090278 -122.4010634422,1179,Tuesday,16008,65994,4368
37.7875641404 -122.3990953318,157,Wednesday,26788,65994,4368
37.8031799634 -122.4030116053,19,Thursday,125669,65994,4368
37.7821500461 -122.4341695943,66,Friday,120535,65995,4368
37.7826162272 -122.3988562115,1130,Friday,142666,65995,4368
37.7666218333 -122.3994067,108,Saturday,29825,65995,4368
37.763099645 -122.4109768867,1221,Saturday,17696,65995,4368
37.7625977833 -122.4231266667,127,Sunday,174904,65995,4368
37.7630739167 -122.4097111333,1319,Sunday,284838,65995,4368
37.7659535333 -122.40668535,161,Monday,14998,65995,4368
37.7826062833 -122.40647605,1067,Monday,386395,65995,4368
37.7823749238 -122.4066102505,1069,Monday,1132468,65995,4368
37.7820008 -122.4180991833,1435,Tuesday,111772,65995,4368
37.7875641404 -122.3990953318,171,Wednesday,26788,65995,4368
37.8031799634 -122.4030116053,13,Thursday,125669,65995,4368
37.7821500461 -122.4341695943,61,Friday,120535,65996,4368
37.7823749238 -122.4066102505,224,Friday,1132468,65996,4368
37.8031799634 -122.4030116053,974,Friday,125669,65996,4368
37.6163560649 -122.3861503601,1247,Friday,19542,65996,4368
32.1212143833 -110.93829445,1439,Friday,34263,65996,4368
32.2614741907 -110.9441012509,137,Saturday,52738,65996,4368
32.3250527167 -110.9296905,1320,Saturday,72886,65996,4368
32.1212143833 -110.93829445,1321,Sunday,34263,65996,4368
33.9435379571 -118.4071683884,6,Monday,10190,65996,4368
37.6163560649 -122.3861503601,139,Monday,19542,65996,4368
37.7628996167 -122.4284039833,1288,Tuesday,161697,65996,4368
37.7820008 -122.4180991833,0,Wednesday,111772,65996,4368
37.7945523167 -122.3990751833,1316,Wednesday,797492,65996,4368
37.8031799634 -122.4030116053,23,Thursday,125669,65996,4368
37.8007191667 -122.4364745833,164,Thursday,59961,65996,4368
37.8031799634 -122.4030116053,1131,Thursday,125669,65996,4368
37.8052425333 -122.4338936667,125,Friday,10362,65999,4368
37.7820008 -122.4180991833,1102,Friday,111772,65999,4368
37.7643876667 -122.4326708,96,Saturday,24104,65999,4368
37.77838825 -122.39355325,1111,Saturday,13225,65999,4368
37.8007900667 -122.4100112833,28,Sunday,10191,65999,4368
37.7625977833 -122.4231266667,1057,Sunday,174904,65999,4368
37.759688872 -122.4271774292,1169,Sunday,9153,65999,4368
37.7580678333 -122.3888325667,1027,Monday,11450,65999,4368
37.8031799634 -122.4030116053,1130,Monday,125669,65999,4368
37.7820008 -122.4180991833,1417,Tuesday,111772,65999,4368
37.7817063667 -122.4096183833,142,Wednesday,520051,65999,4368
37.7680941238 -122.3931884766,962,Wednesday,95710,65999,4368
37.8027066 -122.4033498,1401,Wednesday,25192,65999,4368
37.8031799634 -122.4030116053,17,Thursday,125669,65999,4368
37.7680941238 -122.3931884766,1047,Thursday,95710,65999,4368
37.8031799634 -122.4030116053,1131,Thursday,125669,65999,4368
37.8023377167 -122.3733680833,1261,Thursday,37735,65999,4368
37.781628727 -122.3939502239,6,Friday,15198,66001,4368
37.8031799634 -122.4030116053,987,Friday,125669,66001,4368
37.80104935 -122.4110514833,237,Saturday,40953,66001,4368
37.783761 -122.400135,47,Tuesday,622388,66001,4368
37.7948556438 -122.3957473039,1170,Tuesday,67349,66001,4368
37.7820008 -122.4180991833,5,Wednesday,111772,66001,4368
37.7809756 -122.4208258667,134,Wednesday,107149,66001,4368
37.8031799634 -122.4030116053,23,Thursday,125669,66001,4368
37.797975469 -122.428604484,152,Thursday,1352055,66001,4368
37.8031799634 -122.4030116053,1131,Thursday,125669,66001,4368
37.61467 -122.3851,1226,Thursday,1364814,66001,4368
37.7856987997 -122.3994648457,216,Friday,113558,66003,4368
37.7680941238 -122.3931884766,84,Saturday,95710,66003,4368
37.8023377167 -122.3733680833,189,Saturday,37735,66003,4368
37.7948818333 -122.2771462333,205,Saturday,23444,66003,4368
37.7826162272 -122.3988562115,1018,Saturday,142666,66003,4368
37.7761885333 -122.4084777,1170,Saturday,34882,66003,4368
37.7761885333 -122.4084777,57,Sunday,34882,66003,4368
37.7625977833 -122.4231266667,133,Sunday,174904,66003,4368
37.7826162272 -122.3988562115,965,Sunday,142666,66003,4368
37.783761 -122.400135,966,Sunday,622388,66003,4368
37.7826162272 -122.3988562115,1136,Monday,142666,66003,4368
37.783761 -122.400135,1137,Monday,622388,66003,4368
37.8031799634 -122.4030116053,1139,Tuesday,125669,66003,4368
37.7680941238 -122.3931884766,1291,Tuesday,95710,66003,4368
37.7680941238 -122.3931884766,939,Wednesday,1431077,66003,4368
37.7680941238 -122.3931884766,1290,Wednesday,95710,66003,4368
37.7842234243 -122.4032306671,103,Thursday,36242,66003,4368
37.8031799634 -122.4030116053,1125,Thursday,125669,66003,4368
37.4451149167 -122.1634876,118,Friday,120899,66004,4368
37.7820008 -122.4180991833,1097,Friday,111772,66004,4368
37.7628996167 -122.4284039833,84,Saturday,161697,66004,4368
37.7826162272 -122.3988562115,1018,Saturday,142666,66004,4368
37.7761885333 -122.4084777,1172,Saturday,34882,66004,4368
37.7625977833 -122.4231266667,138,Sunday,174904,66004,4368
37.7802773 -122.3913110167,240,Sunday,34620,66004,4368
37.7891625833 -122.4014605667,1218,Monday,92081,66004,4368
37.78310735 -122.3887151,5,Tuesday,35669,66004,4368
37.7833416 -122.39075,139,Tuesday,994202,66004,4368
37.8031799634 -122.4030116053,1124,Tuesday,125669,66004,4368
37.7666218333 -122.3994067,1282,Tuesday,29825,66004,4368
37.8031799634 -122.4030116053,18,Thursday,125669,66004,4368
37.7625977833 -122.4231266667,208,Thursday,174904,66004,4368
37.8031799634 -122.4030116053,1112,Thursday,125669,66004,4368
37.7842234243 -122.4032306671,155,Friday,36242,66005,4368
37.7826162272 -122.3988562115,1147,Friday,142666,66005,4368
37.7761885333 -122.4084777,1283,Friday,34882,66005,4368
37.4223725639 -122.2056055069,45,Saturday,106090,66005,4368
37.8196620833 -122.4785041667,1092,Sunday,10377,66005,4368
37.7625977833 -122.4231266667,1222,Sunday,174904,66005,4368
37.76228165 -122.4229362167,1222,Sunday,321017,66005,4368
37.759688872 -122.4271774292,7,Monday,9153,66005,4368
37.95906945 -121.9374245333,276,Monday,52410,66005,4368
37.8031799634 -122.4030116053,987,Monday,125669,66005,4368
37.7670339782 -122.421952486,47,Tuesday,29923,66005,4368
37.7700235498 -122.4221536517,70,Tuesday,21076,66005,4368
37.7814657086 -122.3987731615,1279,Tuesday,32074,66005,4368
37.7820008 -122.4180991833,2,Wednesday,111772,66005,4368
37.4951782162 -122.2292556786,1081,Wednesday,76962,66005,4368
37.8027066 -122.4033498,1368,Wednesday,25192,66005,4368
37.8028028833 -122.4016686167,1373,Wednesday,40678,66005,4368
37.8031799634 -122.4030116053,11,Thursday,125669,66005,4368
37.8031799634 -122.4030116053,1136,Thursday,125669,66005,4368
37.8003746378 -122.4405133724,1322,Thursday,53171,66005,4368
37.7826162272 -122.3988562115,1053,Friday,142666,66006,4368
37.7927327833 -122.40956945,1266,Friday,80525,66006,4368
37.7954732826 -122.40299312,77,Saturday,92737,66006,4368
37.7948896822 -122.3958892856,147,Saturday,187311,66006,4368
37.8196620833 -122.4785041667,1235,Sunday,10377,66006,4368
37.8031799634 -122.4030116053,829,Monday,125669,66006,4368
37.7953388902 -122.3937249184,1407,Monday,9073,66006,4368
37.7820008 -122.4180991833,1429,Tuesday,111772,66006,4368
37.7608424243 -122.4329763651,166,Wednesday,55668,66006,4368
37.7666218333 -122.3994067,1188,Wednesday,29825,66006,4368
37.8031799634 -122.4030116053,15,Thursday,125669,66006,4368
37.8031799634 -122.4030116053,1122,Thursday,125669,66006,4368
37.7908857667 -122.38902575,142,Friday,20294,66007,4368
37.8196620833 -122.4785041667,991,Sunday,10377,66007,4368
37.7625977833 -122.4231266667,1146,Sunday,174904,66007,4368
37.76228165 -122.4229362167,1299,Sunday,321017,66007,4368
37.8196620833 -122.4785041667,47,Monday,10377,66007,4368
37.8196620833 -122.4785041667,301,Monday,10377,66007,4368
37.8031799634 -122.4030116053,824,Monday,125669,66007,4368
37.7761885333 -122.4084777,981,Monday,34882,66007,4368
37.76228165 -122.4229362167,1237,Tuesday,321017,66007,4368
37.7820008 -122.4180991833,1420,Tuesday,111772,66007,4368
37.7737818167 -122.41504235,125,Wednesday,35873,66007,4368
37.7843367 -122.3883123667,1153,Wednesday,213715,66007,4368
37.7822801 -122.3875685333,1320,Wednesday,68729,66007,4368
37.8031799634 -122.4030116053,1436,Wednesday,125669,66007,4368
37.7827067 -122.4109708667,177,Thursday,94668,66007,4368
37.8031799634 -122.4030116053,1138,Thursday,125669,66007,4368
37.7820008 -122.4180991833,1090,Friday,111772,66008,4368
37.8196620833 -122.4785041667,1428,Saturday,10377,66008,4368
37.8196620833 -122.4785041667,67,Monday,10377,66008,4368
37.8196620833 -122.4785041667,1004,Monday,10377,66008,4368
37.8031799634 -122.4030116053,37,Tuesday,125669,66008,4368
37.7820008 -122.4180991833,5,Wednesday,111772,66008,4368
37.7741232112 -122.4172605899,155,Wednesday,48283,66008,4368
37.7865636613 -122.39767313,997,Wednesday,39928,66008,4368
37.8031799634 -122.4030116053,12,Thursday,125669,66008,4368
37.7880898834 -122.3977789068,188,Thursday,47026,66008,4368
37.8031799634 -122.4030116053,1116,Thursday,125669,66008,4368
37.7880157783 -122.3997615633,1392,Thursday,53821,66008,4368
37.7826162272 -122.3988562115,1109,Saturday,142666,66013,4368
37.7625977833 -122.4231266667,131,Sunday,174904,66013,4368
37.426125537 -122.141049073,1084,Monday,4544860,66013,4368
37.426125537 -122.141049073,1010,Tuesday,4544860,66013,4368
37.4448959833 -122.1611940167,1090,Tuesday,37359,66013,4368
37.7820008 -122.4180991833,15,Wednesday,111772,66013,4368
37.426125537 -122.141049073,1026,Wednesday,4544860,66013,4368
37.8031799634 -122.4030116053,14,Thursday,125669,66013,4368
37.787411376 -122.4151378076,211,Thursday,49523,66013,4368
37.8031799634 -122.4030116053,1253,Thursday,125669,66013,4368
37.4448959833 -122.1611940167,1420,Thursday,37359,66013,4368
33.5022273333 -111.9962423667,71,Thursday,58180,66277,4390
33.4972061667 -112.0197982333,900,Thursday,159615,66277,4390
33.510123368 -112.0148771224,931,Thursday,92368,66277,4390
33.29982155 -111.8418986333,1146,Thursday,475384,66277,4390
33.3019313167 -111.8421911167,1220,Thursday,129912,66277,4390
33.4972061667 -112.0197982333,877,Friday,159615,66277,4390
33.5085286667 -112.0285152833,967,Friday,163770,66277,4390
33.29982155 -111.8418986333,1256,Friday,475384,66277,4390
33.29982155 -111.8418986333,79,Saturday,475384,66277,4390
33.5318194833 -112.1050425333,905,Saturday,42688,66277,4390
33.52330785 -112.0469762833,941,Saturday,62618,66277,4390
33.50829285 -112.0121304333,1076,Saturday,169367,66277,4390
33.5112009 -112.0140383333,1182,Saturday,98535,66277,4390
33.4902335667 -112.0283540667,244,Sunday,157625,66277,4390
33.5085286667 -112.0285152833,935,Sunday,163770,66277,4390
33.50829285 -112.0121304333,1004,Sunday,169367,66277,4390
33.5021317 -111.9958090667,1077,Sunday,10267,66277,4390
33.3843837849 -111.9636067698,1285,Sunday,119981,66277,4390
33.4902335667 -112.0283540667,167,Monday,157625,66277,4390
33.4972061667 -112.0197982333,882,Monday,159615,66277,4390
33.5085286667 -112.0285152833,918,Monday,163770,66277,4390
33.50829285 -112.0121304333,974,Monday,169367,66277,4390
33.4357390069 -112.0011520386,1222,Monday,23524,66277,4390
37.6163560649 -122.3861503601,3,Tuesday,19542,66277,4390
37.51047575 -122.4834904667,113,Tuesday,180152,66277,4390
37.5025168667 -122.4757890333,126,Tuesday,120340,66277,4390
37.4701236667 -122.4349136167,926,Tuesday,139310,66277,4390
37.420485979 -122.2112754345,1023,Tuesday,49555,66277,4390
37.46443525 -122.4291466667,138,Wednesday,184254,66277,4390
37.4701236667 -122.4349136167,950,Wednesday,139310,66277,4390
37.4673156 -122.4288162167,1026,Wednesday,186058,66277,4390
37.420485979 -122.2112754345,1084,Wednesday,49555,66277,4390
37.6281201833 -122.4011492667,1308,Wednesday,97613,66277,4390
37.6128461112 -122.3835432529,1412,Wednesday,187673,66277,4390
33.4357390069 -112.0011520386,88,Thursday,23524,66278,4390
33.4972061667 -112.0197982333,899,Thursday,159615,66278,4390
33.5085286667 -112.0285152833,1032,Thursday,163770,66278,4390
33.3546910333 -111.7898607333,1163,Thursday,35084,66278,4390
33.29982155 -111.8418986333,1222,Thursday,475384,66278,4390
33.5075616456 -112.0344925926,63,Friday,192054,66278,4390
33.5094026 -112.0277288,244,Friday,27747,66278,4390
33.4972061667 -112.0197982333,912,Friday,159615,66278,4390
33.510123368 -112.0148771224,917,Friday,92368,66278,4390
33.50829285 -112.0121304333,957,Friday,169367,66278,4390
33.29982155 -111.8418986333,1039,Friday,475384,66278,4390
33.4972061667 -112.0197982333,912,Saturday,159615,66278,4390
33.5085286667 -112.0285152833,925,Saturday,163770,66278,4390
33.5086292 -112.0276878667,160,Sunday,103966,66278,4390
33.4972061667 -112.0197982333,901,Sunday,159615,66278,4390
33.5085286667 -112.0285152833,928,Sunday,163770,66278,4390
33.5021317 -111.9958090667,1068,Sunday,10267,66278,4390
33.5098237825 -112.0299309905,94,Monday,176111,66278,4390
33.4972061667 -112.0197982333,911,Monday,159615,66278,4390
33.5086292 -112.0276878667,919,Monday,103966,66278,4390
33.29982155 -111.8418986333,1063,Monday,475384,66278,4390
33.5085286667 -112.0285152833,905,Tuesday,163770,66278,4390
33.50829285 -112.0121304333,956,Tuesday,169367,66278,4390
33.5079105667 -112.04037965,1164,Tuesday,151329,66278,4390
33.4357390069 -112.0011520386,1214,Tuesday,23524,66278,4390
37.6291907333 -122.3999623333,39,Wednesday,215067,66278,4390
37.7969327329 -122.4002158642,131,Wednesday,25102,66278,4390
37.51047575 -122.4834904667,315,Wednesday,180152,66278,4390
37.4701236667 -122.4349136167,933,Wednesday,139310,66278,4390
37.4673156 -122.4288162167,967,Wednesday,186058,66278,4390
37.5783752167 -122.3472459667,1152,Wednesday,94835,66278,4390
37.5782567 -122.3473687833,1223,Wednesday,18906,66278,4390
37.7944741313 -122.3995935917,12,Friday,150319,66282,4390
37.5039446333 -122.48586415,219,Friday,9931,66282,4390
37.4701236667 -122.4349136167,1018,Friday,139310,66282,4390
37.7531452833 -122.4209393167,1137,Friday,236193,66282,4390
37.51047575 -122.4834904667,166,Saturday,180152,66282,4390
37.4701236667 -122.4349136167,1017,Saturday,139310,66282,4390
37.4673156 -122.4288162167,1107,Saturday,186058,66282,4390
37.4690326737 -122.4322379608,1407,Saturday,298880,66282,4390
37.6480019667 -122.4905691,1304,Sunday,242009,66282,4390
37.51047575 -122.4834904667,248,Tuesday,180152,66282,4390
